post_text,post_like,post_view,post_comment,post_id,timestamp,post_share,username,tag
this is test text,1074,261,0,2716120005077509,1560837600,0,K14vn,animal
this is test text,30,472,1,2716118345077675,1560836706,0,K14vn,computer
this is test text,2087,862,278,2716100548412788,1560835819,74,K14vn,animal
this is test text,3005,461,6089,2716076641748512,1560834934,140,K14vn,computer
this is test text,17917,207,305,2716060568416786,1560834057,251,K14vn,animal
this is test text,894,464,3,2716044725085037,1560833160,2,K14vn,person
this is test text,1473,717,208,2716028998419943,1560832279,48,K14vn,computer
this is test text,1050,468,122,2716011971754979,1560831388,33,K14vn,animal
this is test text,80,199,5,2714607321895444,1560830400,6,K14vn,animal
this is test text,1230,281,0,2715992851756891,1560830398,6,K14vn,furniture
this is test text,1035,610,44,2715975308425312,1560829486,14,K14vn,computer
this is test text,183,214,4,2715960211760155,1560828680,2,K14vn,furniture
this is test text,41510,32,5840,2715942421761934,1560827708,9490,K14vn,animal
this is test text,1432,132,98,2715924831763693,1560826842,27,K14vn,person
this is test text,245,407,7,2715873595102150,1560825165,0,K14vn,animal
this is test text,274,567,1,2715836331772543,1560825055,5,K14vn,computer
this is test text,1420,777,14,2715854941770682,1560824100,5,K14vn,furniture
this is test text,610,945,47,2715828785106631,1560823224,21,K14vn,person
this is test text,3010,491,1192,2715825565106953,1560822000,167,K14vn,furniture
